Test Case ID,Module,Status,Duration (s)
TC-001,appium,PASS,0.1
TC-002,appium,PASS,0.1
TC-003,appium,PASS,0.1
TC-004,appium,PASS,0.1
TC-005,appium,PASS,0.1
TC-006,appium,PASS,0.1
TC-007,appium,PASS,0.1
TC-008,appium,PASS,0.1
TC-009,appium,PASS,0.1
TC-010,appium,PASS,0.1
TC-011,appium,PASS,0.1
TC-012,appium,PASS,0.1
TC-013,appium,PASS,0.1
TC-014,appium,PASS,0.1
TC-015,appium,PASS,0.1
TC-016,appium,PASS,0.1
TC-017,appium,PASS,0.1
TC-018,appium,PASS,0.1
TC-019,appium,PASS,0.1
TC-020,appium,PASS,0.1
TC-021,appium,PASS,0.1
TC-022,appium,PASS,0.1
TC-023,appium,PASS,0.1
TC-024,appium,PASS,0.1
TC-025,appium,PASS,0.1
TC-026,appium,PASS,0.1
TC-027,appium,PASS,0.1
TC-028,appium,PASS,0.1
TC-029,appium,PASS,0.1
TC-030,appium,PASS,0.1
TC-031,appium,PASS,0.1
TC-032,appium,PASS,0.1
TC-033,appium,PASS,0.1
TC-034,appium,PASS,0.1
TC-035,appium,PASS,0.1
TC-036,appium,PASS,0.1
TC-037,appium,PASS,0.1
TC-038,appium,PASS,0.1
TC-039,appium,PASS,0.1
TC-040,appium,PASS,0.1
TC-041,appium,PASS,0.1
TC-042,appium,PASS,0.1
TC-043,appium,PASS,0.1
TC-044,appium,PASS,0.1
TC-045,appium,PASS,0.1
TC-046,appium,PASS,0.1
TC-047,appium,PASS,0.1
TC-048,appium,PASS,0.1
TC-049,appium,PASS,0.1
TC-050,appium,PASS,0.1
TC-051,appium,PASS,0.1
TC-052,appium,PASS,0.1
TC-053,appium,PASS,0.1
TC-054,appium,PASS,0.1
TC-055,appium,PASS,0.1
TC-056,appium,PASS,0.1
TC-057,appium,PASS,0.1
TC-058,appium,PASS,0.1
TC-059,appium,PASS,0.1
TC-060,appium,PASS,0.1
TC-061,appium,PASS,0.1
TC-062,appium,PASS,0.1
TC-063,appium,PASS,0.1
TC-064,appium,PASS,0.1
TC-065,appium,PASS,0.1
TC-066,appium,PASS,0.1
TC-067,appium,PASS,0.1
TC-068,appium,PASS,0.1
TC-069,appium,PASS,0.1
TC-070,appium,PASS,0.1
TC-071,appium,PASS,0.1
TC-072,appium,PASS,0.1
TC-073,appium,PASS,0.1
TC-074,appium,PASS,0.1
TC-075,appium,PASS,0.1
TC-076,appium,PASS,0.1
TC-077,appium,PASS,0.1
TC-078,appium,PASS,0.1
TC-079,appium,PASS,0.1
TC-080,appium,PASS,0.1
TC-081,appium,PASS,0.1
TC-082,appium,PASS,0.1
TC-083,appium,PASS,0.1
TC-084,appium,PASS,0.1
TC-085,appium,PASS,0.1
TC-086,appium,PASS,0.1
TC-087,appium,PASS,0.1
TC-088,appium,PASS,0.1
TC-089,appium,PASS,0.1
TC-090,appium,PASS,0.1
TC-091,appium,PASS,0.1
TC-092,appium,PASS,0.1
TC-093,appium,PASS,0.1
TC-094,appium,PASS,0.1
TC-095,appium,PASS,0.1
TC-096,appium,PASS,0.1
TC-097,appium,PASS,0.1
TC-098,appium,PASS,0.1
TC-099,appium,PASS,0.1
TC-100,appium,PASS,0.1
TC-101,appium,PASS,0.1
TC-102,appium,PASS,0.1
TC-103,appium,PASS,0.1
TC-104,appium,PASS,0.1
TC-105,appium,PASS,0.1
TC-106,appium,PASS,0.1
TC-107,appium,PASS,0.1
TC-108,appium,PASS,0.1
TC-109,appium,PASS,0.1
TC-110,appium,PASS,0.1
TC-111,appium,PASS,0.1
TC-112,appium,PASS,0.1
TC-113,appium,PASS,0.1
TC-114,appium,PASS,0.1
TC-115,appium,PASS,0.1
TC-116,appium,PASS,0.1
TC-117,appium,PASS,0.1
TC-118,appium,PASS,0.1
TC-119,appium,PASS,0.1
TC-120,appium,PASS,0.1
TC-121,appium,PASS,0.1
TC-122,appium,PASS,0.1
TC-123,appium,PASS,0.1
TC-124,appium,PASS,0.1
TC-125,appium,PASS,0.1
TC-126,appium,PASS,0.1
TC-127,appium,PASS,0.1
TC-128,appium,PASS,0.1
TC-129,appium,PASS,0.1
TC-130,appium,PASS,0.1
TC-131,appium,PASS,0.1
TC-132,appium,PASS,0.1
TC-133,appium,PASS,0.1
TC-134,appium,PASS,0.1
TC-135,appium,PASS,0.1
TC-136,appium,PASS,0.1
TC-137,appium,PASS,0.1
TC-138,appium,PASS,0.1
TC-139,appium,PASS,0.1
TC-140,appium,PASS,0.1
TC-141,appium,PASS,0.1
TC-142,appium,PASS,0.1
TC-143,appium,PASS,0.1
TC-144,appium,PASS,0.1
TC-145,appium,PASS,0.1
TC-146,appium,PASS,0.1
TC-147,appium,PASS,0.1
TC-148,appium,PASS,0.1
TC-149,appium,PASS,0.1
TC-150,appium,PASS,0.1
TC-151,appium,PASS,0.1
TC-152,appium,PASS,0.1
TC-153,appium,PASS,0.1
TC-154,appium,PASS,0.1
TC-155,appium,PASS,0.1
TC-156,appium,PASS,0.1
TC-157,appium,PASS,0.1
TC-158,appium,PASS,0.1
TC-159,appium,PASS,0.1
TC-160,appium,PASS,0.1
TC-161,appium,PASS,0.1
TC-162,appium,PASS,0.1
TC-163,appium,PASS,0.1
TC-164,appium,PASS,0.1
TC-165,appium,PASS,0.1
TC-166,appium,PASS,0.1
TC-167,appium,PASS,0.1
TC-168,appium,PASS,0.1
TC-169,appium,PASS,0.1
TC-170,appium,PASS,0.1
TC-171,appium,PASS,0.1
TC-172,appium,PASS,0.1
TC-173,appium,PASS,0.1
TC-174,appium,PASS,0.1
TC-175,appium,PASS,0.1
TC-176,appium,PASS,0.1
TC-177,appium,PASS,0.1
TC-178,appium,PASS,0.1
TC-179,appium,PASS,0.1
TC-180,appium,PASS,0.1
TC-181,appium,PASS,0.1
TC-182,appium,PASS,0.1
TC-183,appium,PASS,0.1
TC-184,appium,PASS,0.1
TC-185,appium,PASS,0.1
TC-186,appium,PASS,0.1
TC-187,appium,PASS,0.1
TC-188,appium,PASS,0.1
TC-189,appium,PASS,0.1
TC-190,appium,PASS,0.1
TC-191,appium,PASS,0.1
TC-192,appium,PASS,0.1
TC-193,appium,PASS,0.1
TC-194,appium,PASS,0.1
TC-195,appium,PASS,0.1
TC-196,appium,PASS,0.1
TC-197,appium,PASS,0.1
TC-198,appium,PASS,0.1
TC-199,appium,PASS,0.1
TC-200,appium,PASS,0.1
TC-201,appium,PASS,0.1
TC-202,appium,PASS,0.1
TC-203,appium,PASS,0.1
TC-204,appium,PASS,0.1
TC-205,appium,PASS,0.1
TC-206,appium,PASS,0.1
TC-207,appium,PASS,0.1
TC-208,appium,PASS,0.1
TC-209,appium,PASS,0.1
TC-210,appium,PASS,0.1
TC-211,appium,PASS,0.1
TC-212,appium,PASS,0.1
TC-213,appium,PASS,0.1
TC-214,appium,PASS,0.1
TC-215,appium,PASS,0.1
TC-216,appium,PASS,0.1
TC-217,appium,PASS,0.1
TC-218,appium,PASS,0.1
TC-219,appium,PASS,0.1
TC-220,appium,PASS,0.1
TC-221,appium,PASS,0.1
TC-222,appium,PASS,0.1
TC-223,appium,PASS,0.1
TC-224,appium,PASS,0.1
TC-225,appium,PASS,0.1
TC-226,appium,PASS,0.1
TC-227,appium,PASS,0.1
TC-228,appium,PASS,0.1
TC-229,appium,PASS,0.1
TC-230,appium,PASS,0.1
TC-231,appium,PASS,0.1
TC-232,appium,PASS,0.1
TC-233,appium,PASS,0.1
TC-234,appium,PASS,0.1
TC-235,appium,PASS,0.1
TC-236,appium,PASS,0.1
TC-237,appium,PASS,0.1
TC-238,appium,PASS,0.1
TC-239,appium,PASS,0.1
TC-240,appium,PASS,0.1
TC-241,appium,PASS,0.1
TC-242,appium,PASS,0.1
TC-243,appium,PASS,0.1
TC-244,appium,PASS,0.1
TC-245,appium,PASS,0.1
TC-246,appium,PASS,0.1
TC-247,appium,PASS,0.1
TC-248,appium,PASS,0.1
TC-249,appium,PASS,0.1
TC-250,appium,PASS,0.1
TC-251,appium,PASS,0.1
TC-252,appium,PASS,0.1
